trip_id,country,age_group,travel_companions,num_females,num_males,main_activity,visit_purpose,is_first_visit,mainland_stay_nights,island_stay_nights,tour_type,intl_transport_included,info_source,accomodation_included,food_included,domestic_transport_included,sightseeing_included,guide_included,insurance_included,days_booked_before_trip,arrival_weather,total_trip_days,has_special_requirements,spend_category
tour_ida2jqttlx,AUSTRALIA,25-44,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,6,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,,1-6,,1.0
tour_idc60quzk1,FRANCE,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,9,5,Package Tour,Yes,"Travel agent, tour operator",No,No,No,No,No,No,61-90,Rainy,30+,,0.0
tour_idahsead8c,FRANCE,18-24,With Children,4.0,0.0,,Leisure and Holidays,Yes,0,12,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,No,No,61-90,"sunny,",15-30,translator required.,0.0
tour_idz0cfoaie,UNITED KINGDOM,45-64,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,10,3,Package Tour,No,"Travel agent, tour operator",Yes,Yes,No,No,No,No,61-90,humid,7-14,none,1.0
tour_id40ds2rzy,GERMANY,25-44,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,9,0,Package Tour,No,"Friends, relatives",Yes,Yes,No,No,Yes,No,,"sunny,",7-14,,0.0
tour_id4pnjd0c0,FRANCE,45-64,With Spouse,1.0,1.0,Cultural Tourism,Leisure and Holidays,Yes,9,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,90+,"Windy,",7-14,translator required.,1.0
tour_idkyumgq7e,SPAIN,45-64,Alone,0.0,1.0,Widlife Tourism,Visiting Friends and Relatives,No,2,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,1-7 ,"sunny,",1-6,translator required.,1.0
tour_idhj3v8z5t,OMAN,25-44,Alone,0.0,1.0,Conference Tourism,Business,No,10,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,,"sunny,",30+,,1.0
tour_idysfgf5qf,UNITED STATES OF AMERICA,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,9,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,61-90,Stormy,7-14,none,0.0
tour_idqotxawd3,UNITED KINGDOM,25-44,Alone,1.0,1.0,Conference Tourism,Leisure and Holidays,Yes,9,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,,other,1-6,,0.0
tour_id5ytbwjaq,BURUNDI,25-44,With Other Friends/Relatives,2.0,0.0,Beach Tourism,Leisure and Holidays,Yes,4,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,other,7-14,,2.0
tour_idi70vftr6,INDIA,25-44,,1.0,0.0,Mountain Climbing,Meetings and Conference,No,3,6,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,61-90,,1-6,none,1.0
tour_idp9sxtyji,GERMANY,45-64,With Other Friends/Relatives,4.0,4.0,Widlife Tourism,Leisure and Holidays,Yes,9,7,Package Tour,Yes,"Newspaper, magazines, brochures",Yes,Yes,Yes,Yes,Yes,No,90+,,30+,none,0.0
tour_ide6xp3lka,ITALY,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,7,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,8-14,"cloudy,",7-14,translator required.,0.0
tour_ideng5wnzn,FRANCE,25-44,With Spouse and Children,1.0,2.0,Cultural Tourism,Leisure and Holidays,Yes,6,6,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,Yes,No,15-30 ,,30+,none,0.0
tour_idvr66amp8,NORWAY,45-64,Alone,1.0,0.0,Hunting Tourism,Scientific and Academic,No,5,4,Independent,No,Others,No,No,No,No,No,No,61-90,,7-14,"dietary needs,",1.0
tour_id4by27yho,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Conference Tourism,Meetings and Conference,Yes,2,0,Independent,No,Mexican Mission Abroad,No,No,No,No,No,No,,"sunny,",7-14,translator required.,2.0
tour_id1lkkhczv,CANADA,65+,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,7,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,61-90,"Windy,",1-6,none,0.0
tour_idn37mo0r1,MAURITIUS,25-44,Alone,0.0,1.0,Wildlife Tourism,Meetings and Conference,Yes,90,0,Package Tour,No,"Travel agent, tour operator",Yes,No,No,No,No,No,31-60,"sunny,",7-14,none,0.0
tour_id8qfkpyt9,UGANDA,25-44,Alone,0.0,1.0,Beach Tourism,Visiting Friends and Relatives,Yes,8,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,,30+,,2.0
tour_id9hjju3hn,POLAND,25-44,With Other Friends/Relatives,1.0,1.0,Beach Tourism,Leisure and Holidays,No,0,10,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,,,,1.0
tour_ideudgizhq,UAE,25-44,With Other Friends/Relatives,0.0,2.0,Wildlife Tourism,Leisure and Holidays,Yes,5,0,Package Tour,No,"Newspaper, magazines, brochures",,Yes,Yes,Yes,Yes,No,31-60,,30+,,0.0
tour_idtj70zh6c,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,11,0,Package Tour,No,"Travel agent, tour operator",Yes,No,Yes,Yes,Yes,No,90+,"Windy,",7-14,"dietary needs,",0.0
tour_id5t0gsnmd,AUSTRALIA,65+,With Children,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,6,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,90+,Rainy,1-6,none,0.0
tour_ida6y8ku47,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Wildlife Tourism,Leisure and Holidays,Yes,14,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,90+,"sunny,",15-30,,0.0
tour_idtzb9yq90,UNITED KINGDOM,18-24,With Other Friends/Relatives,0.0,1.0,Conference Tourism,Leisure and Holidays,Yes,11,6,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,No,No,31-60,,7-14,"dietary needs,",1.0
tour_idvfo41gh3,ZIMBABWE,25-44,Alone,0.0,1.0,Mountain Climbing,Business,No,2,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,"sunny,",7-14,,1.0
tour_idz2addboc,AUSTRALIA,45-64,Alone,0.0,1.0,Conference Tourism,Leisure and Holidays,Yes,16,2,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,90+,"cloudy,",7-14,,0.0
tour_id4e2heuuy,GERMANY,18-24,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,6,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,Rainy,30+,none,1.0
tour_idqtvjlq05,SOUTH AFRICA,25-44,Alone,1.0,0.0,Beach Tourism,Leisure and Holidays,Yes,3,2,Independent,No,"Radio, TV, Web",No,No,No,No,No,No,90+,"cloudy,",30+,none,1.0
tour_id1yg8s3lo,INDIA,45-64,With Other Friends/Relatives,0.0,2.0,Beach Tourism,Visiting Friends and Relatives,Yes,12,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,15-30 ,"Windy,",1-6,,1.0
tour_idxvfbqlsr,KENYA,25-44,With Other Friends/Relatives,2.0,0.0,Mountain Climbing,Meetings and Conference,No,5,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,No,No,61-90,"cloudy,",30+,,0.0
tour_id0rducoix,UNITED STATES OF AMERICA,65+,Alone,1.0,0.0,Wildlife Tourism,Leisure and Holidays,Yes,3,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,90+,Rainy,7-14,,1.0
tour_idad2jkoho,CANADA,65+,With Spouse,1.0,1.0,Wildlife Tourism,Leisure and Holidays,Yes,6,0,Package Tour,Yes,Others,Yes,Yes,Yes,Yes,Yes,Yes,90+,"sunny,",15-30,,0.0
tour_ido8uan1nt,ZAMBIA,25-44,Alone,0.0,1.0,Widlife Tourism,Business,Yes,5,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,15-30 ,"sunny,",7-14,none,1.0
tour_id770ks703,OMAN,18-24,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,No,30,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,15-30 ,"cloudy,",7-14,,2.0
tour_idkmnfzfha,ITALY,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,No,12,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,31-60,,15-30,,0.0
tour_idzhg4luw8,SPAIN,25-44,Alone,1.0,0.0,Cultural Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,No,No,No,No,8-14,"sunny,",30+,,1.0
tour_id36yxom0e,NETHERLANDS,45-64,Alone,1.0,0.0,Wildlife Tourism,Visiting Friends and Relatives,No,15,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,other,30+,none,1.0
tour_id4rv3gbmd,GERMANY,25-44,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,7,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,,30+,,1.0
tour_iddwfmy0dd,ZAMBIA,25-44,Alone,0.0,1.0,Hunting Tourism,Business,No,13,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,other,7-14,"dietary needs,",1.0
tour_idgo2lr65s,UNITED STATES OF AMERICA,45-64,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,21,0,Package Tour,Yes,"Travel agent, tour operator",Yes,No,Yes,Yes,Yes,Yes,15-30 ,,30+,,0.0
tour_id3y1fsgvk,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Cultural Tourism,Leisure and Holidays,No,4,3,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,90+,other,1-6,,0.0
tour_idnry6k5dw,UNITED STATES OF AMERICA,45-64,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,No,8,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,90+,,7-14,"dietary needs,",0.0
tour_idp43rhgj6,INDIA,45-64,Alone,0.0,1.0,Widlife Tourism,Business,Yes,1,0,Independent,No,Others,No,No,No,No,No,No,61-90,Rainy,7-14,none,2.0
tour_idr6j0zq00,ITALY,45-64,With Spouse,1.0,1.0,,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,No,Yes,15-30 ,Stormy,30+,,1.0
tour_idacqifcsb,ZIMBABWE,45-64,Alone,0.0,1.0,Hunting Tourism,Visiting Friends and Relatives,No,17,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,,"sunny,",7-14,"dietary needs,",2.0
tour_id3vd9yuzd,KENYA,45-64,Alone,0.0,1.0,Conference Tourism,Meetings and Conference,No,6,0,Independent,No,Others,No,No,No,No,No,No,90+,"sunny,",7-14,none,1.0
tour_id07xio7de,NETHERLANDS,25-44,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,7,6,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,15-30 ,"cloudy,",30+,,0.0
tour_idtcfq8ma4,GREECE,25-44,With Spouse,2.0,0.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,No,Yes,90+,,30+,none,0.0
tour_idmyaatt4t,UNITED STATES OF AMERICA,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,15,5,Package Tour,Yes,"Travel agent, tour operator",Yes,No,Yes,Yes,Yes,Yes,31-60,Rainy,30+,,0.0
tour_id03aochq1,ZAMBIA,25-44,Alone,0.0,1.0,Beach Tourism,Business,No,6,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,,30+,none,2.0
tour_id4qcb2tzc,OMAN,18-24,With Other Friends/Relatives,0.0,3.0,Beach Tourism,Leisure and Holidays,Yes,6,2,Independent,No,"Friends, relatives",No,No,No,No,No,No,15-30 ,"sunny,",7-14,,0.0
tour_idl5160z2w,JAPAN,65+,With Other Friends/Relatives,4.0,0.0,Conference Tourism,Leisure and Holidays,Yes,7,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,31-60,"Windy,",30+,none,0.0
tour_idwsfroa2e,UNITED STATES OF AMERICA,45-64,Alone,0.0,1.0,Cultural Tourism,Meetings and Conference,Yes,5,0,Independent,No,"Radio, TV, Web",No,No,No,No,No,No,61-90,,1-6,none,1.0
tour_idw4loy1bd,UNITED STATES OF AMERICA,25-44,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,No,45,4,Independent,No,Others,No,No,No,No,No,No,90+,"Windy,",30+,,0.0
tour_idz78fiwxq,,18-24,Alone,0.0,1.0,Conference Tourism,Leisure and Holidays,Yes,12,5,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,No,No,61-90,,30+,,1.0
tour_idmv8nwwqg,CHINA,25-44,Alone,0.0,1.0,Beach Tourism,Meetings and Conference,No,0,30,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,,"cloudy,",30+,,0.0
tour_idyheadlgo,UNITED KINGDOM,25-44,Alone,0.0,1.0,Beach Tourism,Leisure and Holidays,Yes,10,3,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,"sunny,",30+,,1.0
tour_idw9trps53,GERMANY,45-64,Alone,1.0,1.0,Widlife Tourism,Leisure and Holidays,No,18,0,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,15-30 ,,30+,,0.0
tour_iderj50rxk,ITALY,45-64,Alone,0.0,1.0,Beach Tourism,Business,No,3,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,"sunny,",30+,,1.0
tour_idow4pxd58,FRANCE,45-64,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,7,9,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,No,No,90+,,30+,none,0.0
tour_id7661xhcz,SOUTH AFRICA,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,Others,Yes,Yes,Yes,No,No,Yes,90+,"sunny,",7-14,,0.0
tour_id0i9vafxm,QATAR,45-64,With Spouse,1.0,1.0,Widlife Tourism,Visiting Friends and Relatives,No,5,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,1-7 ,Rainy,15-30,"dietary needs,",0.0
tour_id4y3tbg4s,ZIMBABWE,25-44,Alone,1.0,0.0,Beach Tourism,Meetings and Conference,Yes,4,0,Independent,No,"Radio, TV, Web",No,No,No,No,No,No,,"cloudy,",7-14,"dietary needs,",2.0
tour_idkwpmexxk,UNITED STATES OF AMERICA,65+,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,5,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,,humid,7-14,,0.0
tour_id2kaddmui,BURUNDI,25-44,Alone,1.0,0.0,Cultural Tourism,Visiting Friends and Relatives,No,2,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,Rainy,30+,,2.0
tour_idfnbrr33f,SPAIN,65+,Alone,0.0,1.0,Cultural Tourism,Leisure and Holidays,Yes,0,3,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,Rainy,7-14,,1.0
tour_id0nxordjq,AUSTRALIA,18-24,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,9,5,Package Tour,Yes,"Friends, relatives",Yes,Yes,Yes,No,No,No,61-90,"sunny,",15-30,none,0.0
tour_idpeop3woj,SPAIN,25-44,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,6,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,90+,"Windy,",30+,"dietary needs,",0.0
tour_idmtwofgxl,UGANDA,25-44,With Other Friends/Relatives,0.0,1.0,Hunting Tourism,Other,Yes,3,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,31-60,,1-6,none,2.0
tour_id05wlv9eh,SWEDEN,65+,Alone,0.0,1.0,Mountain Climbing,Scientific and Academic,Yes,4,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,Stormy,1-6,,1.0
tour_idntu6mljp,UNITED STATES OF AMERICA,45-64,With Other Friends/Relatives,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,13,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,Yes,No,61-90,"sunny,",30+,,0.0
tour_id7j0p8nv2,ZAMBIA,25-44,Alone,0.0,1.0,Widlife Tourism,Business,No,5,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,other,1-6,,1.0
tour_idk3qfc2ay,UNITED STATES OF AMERICA,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,No,12,0,Independent,No,Mexican Mission Abroad,No,No,No,No,No,No,61-90,Rainy,1-6,,0.0
tour_idv5sr30ec,GERMANY,65+,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,,5,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,8-14,"cloudy,",30+,,0.0
tour_id1xi4fq0x,ZAMBIA,25-44,Alone,0.0,1.0,Widlife Tourism,Meetings and Conference,No,2,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,31-60,Rainy,7-14,none,2.0
tour_idljrcnq01,UNITED STATES OF AMERICA,45-64,With Spouse,1.0,1.0,Hunting Tourism,Visiting Friends and Relatives,No,4,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,other,30+,none,1.0
tour_id8vhxl8tk,FRANCE,<18,With Spouse and Children,2.0,2.0,Widlife Tourism,Leisure and Holidays,Yes,11,0,Package Tour,Yes,"Travel agent, tour operator",No,No,No,No,No,No,90+,"cloudy,",7-14,,0.0
tour_idj0y239m3,CANADA,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,18,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,No,No,90+,Rainy,7-14,"dietary needs,",0.0
tour_idxjqajy6h,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,17,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,31-60,,30+,,1.0
tour_id561hfj2n,UNITED KINGDOM,45-64,With Spouse and Children,1.0,4.0,Widlife Tourism,Leisure and Holidays,Yes,8,0,Package Tour,Yes,"Friends, relatives",Yes,No,Yes,No,Yes,No,61-90,Stormy,7-14,,0.0
tour_idz85c0kn8,AUSTRALIA,25-44,With Spouse and Children,2.0,2.0,Cultural Tourism,Visiting Friends and Relatives,Yes,2,1,Independent,No,"Friends, relatives",No,No,No,No,No,No,31-60,"sunny,",30+,,1.0
tour_id5tdmx1zk,UNITED KINGDOM,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,,8,6,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,1-7 ,,7-14,,0.0
tour_idscnvbe7n,UKRAIN,45-64,Alone,0.0,1.0,Conference Tourism,Leisure and Holidays,Yes,6,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,No,Yes,Yes,No,90+,"sunny,",7-14,none,1.0
tour_id9vywn936,UNITED STATES OF AMERICA,45-64,Alone,1.0,0.0,Widlife Tourism,Visiting Friends and Relatives,Yes,5,2,Independent,No,"Radio, TV, Web",No,No,No,No,No,,61-90,Rainy,30+,none,1.0
tour_id11cwf0rp,SINGAPORE,25-44,With Other Friends/Relatives,2.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,10,0,Package Tour,Yes,"Friends, relatives",Yes,Yes,Yes,Yes,Yes,Yes,90+,Rainy,30+,"dietary needs,",0.0
tour_id90hjr39l,NEPAL,25-44,With Other Friends/Relatives,0.0,2.0,Widlife Tourism,Leisure and Holidays,Yes,3,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,Stormy,30+,,1.0
tour_id3uxt178r,ZAMBIA,25-44,With Other Friends/Relatives,0.0,1.0,,Business,No,4,0,Independent,No,"Radio, TV, Web",No,No,No,No,No,No,61-90,other,30+,,1.0
tour_idge9koeui,KOREA,25-44,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,8,5,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,Stormy,30+,none,1.0
tour_idv7jrpvob,UNITED KINGDOM,45-64,Alone,0.0,1.0,Widlife Tourism,Meetings and Conference,Yes,42,0,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,31-60,"cloudy,",7-14,,1.0
tour_ideyj6le7w,NETHERLANDS,45-64,With Spouse,1.0,1.0,Wildlife Tourism,Leisure and Holidays,Yes,9,6,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,,7-14,,1.0
tour_ide0qgv3up,SOUTH AFRICA,45-64,,1.0,0.0,Wildlife Tourism,Business,Yes,2,0,Independent,No,Mexican Mission Abroad,No,No,No,No,No,No,90+,,30+,,1.0
tour_idoyym3xtz,BRAZIL,25-44,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,5,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,31-60,Rainy,7-14,translator required.,0.0
tour_ida34p9pvk,,25-44,With Spouse,1.0,1.0,Conference Tourism,Leisure and Holidays,Yes,10,0,Package Tour,Yes,"Travel agent, tour operator",Yes,No,Yes,No,No,No,61-90,"sunny,",30+,,0.0
tour_idt2llyhs0,AUSTRIA,45-64,With Other Friends/Relatives,5.0,6.0,Conference Tourism,Leisure and Holidays,Yes,11,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,61-90,,7-14,,0.0
tour_idep70z164,FRANCE,25-44,With Children,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,12,Package Tour,Yes,"Travel agent, tour operator",No,Yes,Yes,Yes,Yes,No,61-90,,7-14,none,0.0
tour_id7q0lpr05,QATAR,18-24,With Other Friends/Relatives,2.0,0.0,Beach Tourism,Leisure and Holidays,Yes,4,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,,"sunny,",7-14,"dietary needs,",1.0
tour_idmlu6636t,BURUNDI,25-44,Alone,0.0,1.0,Hunting Tourism,Business,No,7,0,Independent,No,"Friends, relatives",No,,No,No,No,No,61-90,Rainy,7-14,,1.0
tour_iddyylbes0,AUSTRALIA,25-44,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,6,3,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,No,No,61-90,other,30+,none,0.0
tour_idiv1h11fk,DENMARK,18-24,Alone,1.0,0.0,Beach Tourism,Scientific and Academic,Yes,0,10,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,Rainy,30+,,1.0
tour_idimfvsaul,ISRAEL,18-24,With Other Friends/Relatives,0.0,1.0,Conference Tourism,Leisure and Holidays,Yes,9,0,Package Tour,No,"Newspaper, magazines, brochures",No,Yes,Yes,Yes,Yes,No,90+,"sunny,",1-6,,0.0
tour_idszrplggn,NETHERLANDS,25-44,Alone,1.0,0.0,Beach Tourism,Leisure and Holidays,Yes,63,4,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,,,30+,,1.0
tour_ids6f3mnza,ZAMBIA,45-64,With Other Friends/Relatives,1.0,2.0,Hunting Tourism,Meetings and Conference,No,7,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,31-60,,15-30,,2.0
tour_ida4o3ayd4,UNITED KINGDOM,18-24,,0.0,1.0,Hunting Tourism,Volunteering,Yes,30,4,Independent,No,Trade fair,No,No,No,No,No,No,61-90,,,,0.0
tour_idv7sbmukf,AUSTRALIA,25-44,With Other Friends/Relatives,2.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,7,0,Package Tour,Yes,Trade fair,Yes,Yes,Yes,Yes,Yes,No,15-30 ,"sunny,",30+,,0.0
tour_idrk2e3b3z,MOZAMBIQUE,25-44,With Other Friends/Relatives,1.0,2.0,Beach Tourism,Leisure and Holidays,Yes,5,0,Package Tour,Yes,"Friends, relatives",Yes,No,No,No,No,No,31-60,"sunny,",7-14,,1.0
tour_idnp6gqt45,BURUNDI,18-24,Alone,1.0,0.0,Hunting Tourism,Business,Yes,5,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,,"cloudy,",15-30,,2.0
tour_idcvpjaqhm,UNITED KINGDOM,18-24,With Other Friends/Relatives,1.0,1.0,Business,Volunteering,Yes,7,28,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,,30+,,1.0
tour_idudp7x1fi,KENYA,25-44,Alone,1.0,0.0,Hunting Tourism,Leisure and Holidays,No,1,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,,humid,7-14,translator required.,2.0
tour_idh1ehyamy,SPAIN,25-44,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,5,4,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,No,No,1-7 ,,7-14,,1.0
tour_idadaq1k2y,ZAMBIA,25-44,Alone,0.0,1.0,Beach Tourism,Business,No,3,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,"sunny,",30+,,2.0
tour_idyhvm8mfw,SWIZERLAND,18-24,With Spouse,1.0,1.0,Conference Tourism,Leisure and Holidays,Yes,20,4,Independent,No,Others,No,No,No,No,No,No,90+,"sunny,",1-6,translator required.,0.0
tour_id4298gzjx,FRANCE,25-44,Alone,0.0,1.0,Wildlife Tourism,Leisure and Holidays,Yes,5,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,31-60,Stormy,30+,,1.0
tour_idluk6xvf4,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Conference Tourism,Leisure and Holidays,Yes,12,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,No,Yes,Yes,No,90+,"sunny,",30+,,0.0
tour_id9eti2oha,ITALY,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,21,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,Yes,No,61-90,Stormy,,,0.0
tour_idfon9vgcs,ITALY,45-64,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,,"cloudy,",7-14,"dietary needs,",0.0
tour_idm67rlurf,PORTUGAL,25-44,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,No,10,0,Package Tour,Yes,"Radio, TV, Web",Yes,Yes,Yes,Yes,Yes,Yes,90+,other,15-30,none,0.0
tour_idb3f3ae0h,UNITED KINGDOM,45-64,Alone,0.0,1.0,Mountain Climbing,Business,No,5,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,,7-14,"dietary needs,",1.0
